dist_to_goal (normalized),reward
0.000000000000000000e+00,8.352128267288208008e-01
2.040816326530612082e-02,8.211996555328369141e-01
4.081632653061224164e-02,8.041517138481140137e-01
6.122448979591836593e-02,7.871038913726806641e-01
8.163265306122448328e-02,7.700560092926025391e-01
1.020408163265306006e-01,7.527956962585449219e-01
1.224489795918367319e-01,7.352916002273559570e-01
1.428571428571428492e-01,7.178419232368469238e-01
1.632653061224489666e-01,7.004348635673522949e-01
1.836734693877550839e-01,6.830021142959594727e-01
2.040816326530612013e-01,6.653778553009033203e-01
2.244897959183673186e-01,6.480141878128051758e-01
2.448979591836734637e-01,6.306505203247070312e-01
2.653061224489795533e-01,6.132867336273193359e-01
2.857142857142856984e-01,5.961808562278747559e-01
3.061224489795917880e-01,5.783874392509460449e-01
3.265306122448979331e-01,5.610181689262390137e-01
3.469387755102040782e-01,5.436526536941528320e-01
3.673469387755101678e-01,5.262871384620666504e-01
3.877551020408163129e-01,5.089216828346252441e-01
4.081632653061224025e-01,4.915559887886047363e-01
4.285714285714285476e-01,4.741904735565185547e-01
4.489795918367346372e-01,4.570602774620056152e-01
4.693877551020407823e-01,4.404333829879760742e-01
4.897959183673469274e-01,4.230777025222778320e-01
5.102040816326530726e-01,4.057220816612243652e-01
5.306122448979591066e-01,3.883664608001708984e-01
5.510204081632652517e-01,3.710108995437622070e-01
5.714285714285713969e-01,3.534956574440002441e-01
5.918367346938775420e-01,3.359069228172302246e-01
6.122448979591835760e-01,3.201889395713806152e-01
6.326530612244897211e-01,3.079369962215423584e-01
6.530612244897958663e-01,2.964518964290618896e-01
6.734693877551020114e-01,2.840675711631774902e-01
6.938775510204081565e-01,2.712283134460449219e-01
7.142857142857141906e-01,2.587868869304656982e-01
7.346938775510203357e-01,2.454691380262374878e-01
7.551020408163264808e-01,2.332292199134826660e-01
7.755102040816326259e-01,2.209892570972442627e-01
7.959183673469386600e-01,2.087494134902954102e-01
8.163265306122448051e-01,1.959267258644104004e-01
8.367346938775509502e-01,1.830648183822631836e-01
8.571428571428570953e-01,1.702339351177215576e-01
8.775510204081632404e-01,1.576934456825256348e-01
8.979591836734692745e-01,1.447892785072326660e-01
9.183673469387754196e-01,1.313183009624481201e-01
9.387755102040815647e-01,1.176917180418968201e-01
9.591836734693877098e-01,1.038354709744453430e-01
9.795918367346938549e-01,9.011647850275039673e-02
1.000000000000000000e+00,7.655543088912963867e-02
