min lidar clearance (normalized),reward
2.000000000000000042e-02,1.421623826026916504e+00
4.000000000000000083e-02,1.380378007888793945e+00
5.999999999999999778e-02,1.339131951332092285e+00
8.000000000000000167e-02,1.297879815101623535e+00
1.000000000000000056e-01,1.255785942077636719e+00
1.200000000000000094e-01,1.212912082672119141e+00
1.399999999999999856e-01,1.169015049934387207e+00
1.600000000000000033e-01,1.124759078025817871e+00
1.799999999999999933e-01,1.079642295837402344e+00
1.999999999999999833e-01,1.034530639648437500e+00
2.200000000000000011e-01,9.894184470176696777e-01
2.399999999999999911e-01,9.443086981773376465e-01
2.600000000000000089e-01,8.992030024528503418e-01
2.800000000000000266e-01,8.540986776351928711e-01
3.000000000000000444e-01,8.089971542358398438e-01
3.200000000000000067e-01,7.552584409713745117e-01
3.400000000000000244e-01,6.978200674057006836e-01
3.600000000000000422e-01,6.403817534446716309e-01
3.800000000000000044e-01,5.829635262489318848e-01
4.000000000000000222e-01,5.255537629127502441e-01
4.200000000000000400e-01,4.679914414882659912e-01
4.400000000000000022e-01,4.098963141441345215e-01
4.600000000000000200e-01,3.514444231986999512e-01
4.800000000000000377e-01,2.923432588577270508e-01
5.000000000000000000e-01,2.332559227943420410e-01
5.200000000000000178e-01,1.741772890090942383e-01
5.400000000000000355e-01,1.187500357627868652e-01
5.600000000000000533e-01,6.366285681724548340e-02
5.800000000000000711e-01,8.497372269630432129e-03
5.999999999999999778e-01,-3.126440197229385376e-02
6.199999999999999956e-01,-6.780593842267990112e-02
6.400000000000000133e-01,-7.799607515335083008e-02
6.600000000000000311e-01,-6.403249502182006836e-02
6.800000000000000488e-01,-4.901336133480072021e-02
7.000000000000000666e-01,-3.630879521369934082e-02
7.200000000000000844e-01,-2.688545733690261841e-02
7.399999999999999911e-01,-7.333949208259582520e-03
7.600000000000000089e-01,1.256676763296127319e-02
7.800000000000000266e-01,3.246007114648818970e-02
8.000000000000000444e-01,5.234976857900619507e-02
8.200000000000000622e-01,7.223595678806304932e-02
8.400000000000000799e-01,9.934847056865692139e-02
8.599999999999999867e-01,1.358870714902877808e-01
8.800000000000000044e-01,1.717407703399658203e-01
9.000000000000000222e-01,2.075937986373901367e-01
9.200000000000000400e-01,2.434370964765548706e-01
9.400000000000000577e-01,2.817510664463043213e-01
9.600000000000000755e-01,3.248887062072753906e-01
9.799999999999999822e-01,3.680414557456970215e-01
1.000000000000000000e+00,4.111942946910858154e-01
